index_name,index_id,turnover_perc,numholdings_,aum_index,dvol,competition,top3_issuer,spread_bps,d_OwnIndex
CEMP International 500 Volatility Weighted Index,CEMP International 500 Volatility Weighted Index,79.74926456,500.972332,87554445.82,267148.9078,0,0,44.6497533,1
CEMP International High Dividend 100 Volatility Weighted Index,CEMP International High Dividend 100 Volatility Weighted Index,116.2014911,100.7312253,61154827.55,327096.2555,0,0,39.59592623,1
CEMP U.S. Large Cap 500 Long/Cash Volatility Weighted Index,CEMP U.S. Large Cap 500 Long/Cash Volatility Weighted Index,94.33826982,500.486166,648444961.7,2392797.979,0,0,11.1617562,1
CEMP U.S. Large Cap 500 Volatility Weighted Index,CEMP U.S. Large Cap 500 Volatility Weighted Index,124.130098,500.43083,706157708.1,3469736.045,0,0,13.67229409,1
CEMP U.S. Large Cap High Dividend 100 Long/Cash Volatility Weigh,CEMP U.S. Large Cap High Dividend 100 Long/Cash Volatility Weigh,90.39298635,101.0395257,596272715.2,2242649.114,0,0,10.29850817,1
CEMP U.S. Small Cap 500 Long/Cash Volatility Weighted Index,CEMP U.S. Small Cap 500 Long/Cash Volatility Weighted Index,303.4981299,465.0592885,42780974.38,536537.348,0,0,50.23162641,1
CEMP US Large Cap High Dividend 100 Volatility Weighted Index,CEMP US Large Cap High Dividend 100 Volatility Weighted Index,151.2001254,101.0079051,219692027.3,1625720.102,0,0,22.31152812,1
CEMP US Small Cap 500 Volatility Weighted Index,CEMP US Small Cap 500 Volatility Weighted Index,163.2463032,465.0592885,19059533.45,133499.4036,0,0,35.80298572,1
CEMP US Small Cap High Dividend 100 Volatility Weighted Index,CEMP US Small Cap High Dividend 100 Volatility Weighted Index,202.923261,100.3320158,75690768.61,596056.4762,0,0,47.81850337,1
CIBC Atlas Clean Energy Index,CIBC Atlas Clean Energy Index,277.8076335,33.36693548,297659404.9,3458269.738,0,0,20.23807673,1
CRSP US Mega Cap Growth TR USD,CRSP US Mega Cap Growth TR USD,246.072003,111.7351779,7748215566,70874345.37,0,1,5.009004734,1
CRSP US Mega Cap TR USD,CRSP US Mega Cap TR USD,163.858002,255.5770751,2657339549,15894151.4,0,1,5.411910432,1
CRSP US Mega Cap Value TR USD,CRSP US Mega Cap Value TR USD,126.8120851,154.6521739,2827557903,13745205.44,0,1,6.679593405,1
CRSP US Mid Cap Growth TR USD,CRSP US Mid Cap Growth TR USD,103.5746645,163.4782609,7775680897,30213366.07,0,1,5.759900069,1
CRSP US Mid Cap TR USD,CRSP US Mid Cap TR USD,124.5561481,350.6679842,32482662498,147098718.1,0,1,5.186974846,1
CRSP US Mid Cap Value TR USD,CRSP US Mid Cap Value TR USD,148.8897361,205.5454545,9212573652,51712681.22,0,1,5.019081115,1
CSI 300 TR CNY,CSI 300 TR CNY,539.9898611,385.3292683,57230179.9,986678.9338,0,0,43.34153654,1
CSI 300 USD,CSI 300 USD,2114.34147,597.7871486,1916172537,162923324.8,0,0,5.362219697,1
CSI 300 USD Hedged Index,CSI 300 USD Hedged Index,25.04158089,488.7590361,13074878.6,16377.08226,0,0,80.18030567,1
CSI Overseas China Five-Year Plan GR USD,CSI Overseas China Five-Year Plan GR USD,296.4481854,104.8906883,14259795.5,179827.1011,0,0,154.8679442,1
Cambria Emerging Shareholder Yield Index,Cambria Emerging Shareholder Yield Index,167.9387835,96.37083333,33904762.28,232719.7289,0,0,105.2027315,1
Cambria Foreign Shareholder Yield USD,Cambria Foreign Shareholder Yield USD,106.2245503,103.5313808,20807977.35,117391.5704,0,0,66.11014207,1
Cambria Global Value USD,Cambria Global Value USD,127.5557678,104.6239669,108763852.5,578274.4321,0,0,28.08259324,1
Cannabis Index,Cannabis Index,836.00742,26.31983806,13904280.22,534124.1951,0,0,107.749133,1
Cboe Russell 2000 BuyWrite Index,Cboe Russell 2000 BuyWrite Index,355.3240324,4,16898270.15,245391.0873,0,0,75.67105912,0
Change Finance Diversified Impact U.S. Large Cap Fossil Fuel Free Index,Change Finance Diversified Impact U.S. Large Cap Fossil Fuel Free Index,198.1983856,100.1343874,19543169.32,152289.0345,0,0,58.12796919,1
China Securities 500 Index,China Securities 500 Index,357.5166189,939.7188755,34879309.72,530334.6041,0,0,26.30646777,1
Communication Services Select Sector SPDR,US Communications Sector,445.2548279,71.07765762,5860166673,120924416,1,1,4.978764294,1
Concinnity Conscious Companies Index,Concinnity Conscious Companies Index,424.2282472,159.1902834,255417800.3,2880829.916,0,0,59.56455387,1
Consumer Discretionary Select Sector SPDR,Consumer Discretionary Sector,626.0887759,179.1748894,8955336880,308644652.2,1,1,5.05208381,1
Consumer Staples Select Sector SPDR,Consumer Staples Sector,741.7617938,64.63697478,9582134375,380002431.7,1,1,4.091120749,1
Credit Suisse 130/30 Large Cap USD,Credit Suisse 130/30 Large Cap USD,98.01246561,378.4285714,494219161.3,2444905.628,0,0,37.05385488,1
DAX Index,DAX Index,475.167453,32.32793522,21786244.99,408268.8915,0,0,80.43714054,1
DJ Asia Pac Select Dividend 30 TR USD,DJ Asia Pac Select Dividend 30 TR USD,161.7150534,52.48616601,26093859.03,171065.3328,0,0,32.81430165,0
DJ EM Consumer Titans 30 TR USD,DJ EM Consumer Titans 30 TR USD,147.045372,74.90438247,183918611,1087687.567,0,0,31.43405972,0
DJ EPAC Select Dividend TR USD,DJ EPAC Select Dividend TR USD,210.4288754,118.43083,3701541804,30674885.82,0,0,9.060573416,0
DJ Emerging Markets Sel Dividend TR USD,DJ Emerging Markets Sel Dividend TR USD,235.2058983,125.2608696,627705103.7,6216565.702,0,0,22.14629532,0
DJ Global Select Dividend TR USD,DJ Global Select Dividend TR USD,144.775875,95.72332016,417960675.3,2403727.349,0,0,18.99304851,0
DJ Global TR USD,DJ Global TR USD,91.19433749,188.2111554,81102060.26,279538.8539,0,1,13.68247104,0
DJ Industrial Average TR USD,DJ Industrial Average TR USD,1439.116278,31.16733068,22065534069,1201289521,0,1,0.84913193,0
DJ Select Micro Cap TR USD,DJ Select Micro Cap TR USD,245.893688,186.2924901,112224604,1038388.273,0,0,45.79878294,0
DJ Transportation Average TR USD,DJ Transportation Average TR USD,1619.811803,24.7826087,770980292.3,41821332.37,0,0,8.612163017,0
DJ US Basic Materials TR USD,DJ US Basic Materials TR USD,385.2831509,48.18577075,414736250.2,6881992.471,0,0,9.771406486,0
DJ US Broad Stock Market TR USD,DJ US Broad Stock Market TR USD,158.4406403,2468.856574,15496291960,92383871.09,0,0,3.831866163,0
DJ US Consumer Goods TR USD,DJ US Consumer Goods TR USD,190.8951328,107.5533597,564349096.3,4525132.237,0,0,6.482200139,0
DJ US Consumer Svcs TR USD,DJ US Consumer Svcs TR USD,236.7844661,153.3794466,966487237.7,8685806.858,0,0,7.280445064,0
DJ US Dividend 100 TR USD,DJ US Dividend 100 TR USD,224.0856775,113.4661355,12238374089,105069492.6,0,0,4.615530309,0
DJ US Financial Services TR USD,DJ US Financial Services TR USD,368.8248655,118.4822134,1323709502,20930373.27,0,0,6.321301725,0
DJ US Financial TR USD,DJ US Financial TR USD,555.7107263,273.1976285,1379738172,29253521.83,0,0,5.885253422,0
DJ US Health Care TR USD,DJ US Health Care TR USD,186.2112159,124.4703557,2315209196,16977183.34,0,0,7.530928335,0
DJ US Industrials TR USD,DJ US Industrials TR USD,210.515412,203.6758893,875300751.9,7137323.879,0,0,8.251272827,0
DJ US Oil&Gas TR USD,DJ US Oil&Gas TR USD,2241.980161,49.12648221,442299950.2,38104418.93,0,0,6.96406057,0
DJ US Select Dividend TR USD,DJ US Select Dividend TR USD,143.0711166,102.7272727,14035982299,77706851.73,0,0,6.953968636,0
DJ US Select HC Providers TR USD,DJ US Select HC Providers TR USD,311.4605405,53.34387352,929630792.4,11305410.87,0,0,8.186324374,0
DJ US Select Home Builders TR USD,DJ US Select Home Builders TR USD,2651.904852,46.67193676,1624689174,156866982.2,0,0,6.618245442,0
DJ US Select Insurc TR USD,DJ US Select Insurc TR USD,252.433169,66.28853755,69248623.62,776648.2191,0,0,17.57344723,0
DJ US Select Investment Svcs TR USD,DJ US Select Investment Svcs TR USD,335.2881641,29.04347826,145723643.7,1877857.806,0,0,9.633562743,0
DJ US Select Medical Equip TR USD,DJ US Select Medical Equip TR USD,301.4140692,63.65217391,6823618819,73930709.36,0,0,7.053150116,0
DJ US Select Oil Equip&Svcs TR USD,DJ US Select Oil Equip&Svcs TR USD,889.2697618,30.98814229,88098561.39,3152776.525,0,0,13.11240792,0
DJ US Select Oil Explor&Prodtn TR USD,DJ US Select Oil Explor&Prodtn TR USD,1157.376526,49.70355731,177200376,7567824.524,0,0,14.16468353,0
DJ US Select Pharms TR USD,DJ US Select Pharms TR USD,170.141479,48.15810277,343826625.7,2323021.401,0,0,9.852938882,0
DJ US Select Regional Banks TR USD,DJ US Select Regional Banks TR USD,614.0586679,59.88537549,259150080.6,5965987.846,0,0,8.214778016,0
DJ US Select Telecom TR USD,DJ US Select Telecom TR USD,678.5796615,47.28063241,362439625.2,9662109.45,0,0,6.481163047,0
DJ US TR USD,DJ US TR USD,127.850431,1140.577075,1252414240,6043857.567,0,0,7.130772387,0
DJ US TSM Large Cap Growth TR USD,DJ US TSM Large Cap Growth TR USD,151.8010969,332.5856574,10831559641,61991689.88,0,0,4.317515343,0
DJ US TSM Large Cap TR USD,DJ US TSM Large Cap TR USD,164.1848247,775.5338645,20861393846,126819496.6,0,0,4.018320372,0
DJ US TSM Large Cap Value TR USD,DJ US TSM Large Cap Value TR USD,172.4308859,460.8007968,6639730807,43941241.56,0,0,5.955042949,0
DJ US TSM Mid Cap TR USD,DJ US TSM Mid Cap TR USD,134.1909398,517.3784861,6455454629,31784469.69,0,0,5.862359519,0
DJ US TSM Small Cap TR USD,DJ US TSM Small Cap TR USD,135.6838748,1745.039841,9264008503,45957415.05,0,0,7.28905542,0
DJ US Technology TR USD,DJ US Technology TR USD,201.9581354,162.3359684,5552930909,42832350.74,0,0,4.303173445,0
DJ US Thematic Market Neut Momen TR USD,DJ US Thematic Market Neut Momen TR USD,1692.895553,617.8714286,4565798.32,306363.3594,0,0,94.63108426,0
DJ US Thematic Mkt Neut Anti-Beta TR USD,DJ US Thematic Mkt Neut Anti-Beta TR USD,627.4819437,549.8142857,176694682.9,4315886.945,0,0,29.48862069,0
DJ US Thematic Mkt Neut Value TR USD,DJ US Thematic Mkt Neut Value TR USD,876.766448,502.510101,785669.937,27161.54625,0,0,138.2313763,0
DJ US Utilities TR USD,DJ US Utilities TR USD,273.8609616,51.57312253,860364468,10091473.95,0,0,6.477470924,0
DWA Basic Materials Technical Leaders USD,DWA Basic Materials Technical Leaders USD,164.0962087,49.54545455,42214329.12,303453.8963,0,0,26.04644206,1
DWA Consumer Cyclicals Technical Leaders USD,DWA Consumer Cyclicals Technical Leaders USD,351.2792104,40.5770751,32468304.71,540217.2443,0,0,42.81021478,1
DWA Consumer Staples Technical Leaders USD,DWA Consumer Staples Technical Leaders USD,129.8377519,36.68379447,120941340.2,647954.5491,0,0,22.36042949,1
DWA Energy Technical Leaders USD,DWA Energy Technical Leaders USD,351.446794,43.45059289,25342130.22,375971.5443,0,0,16.52623704,1
DWA Financials Technical Leaders USD,DWA Financials Technical Leaders USD,256.7871714,45.84189723,35199696.98,388613.6206,0,0,43.96754408,1
DWA Healthcare Technical Leaders USD,DWA Healthcare Technical Leaders USD,407.2282897,49.3715415,408228932.4,5824921.341,0,0,14.97078304,1
DWA Industrials Technical Leaders USD,DWA Industrials Technical Leaders USD,295.3382042,39.45454545,83784056.91,985621.5586,0,0,33.53091583,1
DWA Technology Technical Leaders USD,DWA Technology Technical Leaders USD,329.8323202,40.13833992,231348409.6,2821867.786,0,0,15.04850018,1
DWA Utilities Technical Leaders USD,DWA Utilities Technical Leaders USD,240.5923993,38.46245059,86867224.98,903051.8003,0,0,12.10588068,1
Dan Ives Global Cloud Technology Prime Index,Dan Ives Global Cloud Technology Prime Index,210.7739802,59.10326087,44351653.85,328485.932,0,0,72.39326174,1
Defined Asia Pacific Ex-Japan USD,Defined Asia Pacific Ex-Japan USD,64.34294749,106.0988142,15529342.41,44130.25141,0,0,189.6477669,1
Defined Australia TR USD,Defined Australia TR USD,209.072216,41.48584906,2727977.365,24230.35104,0,0,96.83651871,1
Defined Brazil USD,Defined Brazil USD,212.9589725,52.256917,31147692.7,345598.0094,0,0,133.6677218,1
Defined Canada TR USD,Defined Canada TR USD,111.5628658,40.91037736,3323725.793,20341.63561,0,0,30.99536234,1
Defined China USD,Defined China USD,100.0409921,52.3083004,42840830.01,460771.8993,0,0,85.05449387,1
Defined Developed Markets Ex-US USD,Defined Developed Markets Ex-US USD,211.0458204,313.916996,433147397.8,3583757.65,0,0,28.83969375,1
Defined Developed Markets SC TR USD,Defined Developed Markets SC TR USD,230.6111757,412.9051383,7252700.091,65062.89622,0,0,65.13723722,1
Defined Emerging Markets SC TR USD,Defined Emerging Markets SC TR USD,218.9884773,220.6719368,142091305.4,1288044.247,0,0,41.67621609,1
Defined Emerging Markets USD,Defined Emerging Markets USD,210.0552544,167.1936759,463695008.3,3986980.237,0,0,27.21577835,1
Defined Europe USD,Defined Europe USD,170.7298735,206.8379447,381755553.8,2736985.215,0,0,30.16032184,1
Defined Germany TR USD,Defined Germany TR USD,64.52053206,41.21343874,91976393.01,247596.106,0,0,103.2916378,1
Defined Hong Kong TR USD,Defined Hong Kong TR USD,86.49660297,42.78301887,3219792.567,13051.88492,0,0,233.5970984,1
Defined Japan USD,Defined Japan USD,196.0016456,101.8102767,49808098.22,400246.4403,0,0,64.74226949,1
Defined Large Cap Core TR USD,Defined Large Cap Core TR USD,106.7436719,376.1304348,1002770764,4179018.456,0,0,10.3886776,1
Defined Large Cap Growth USD,Defined Large Cap Growth USD,131.4355708,187.9328063,969544063.8,5087799.742,0,0,12.00551292,1
Defined Large Cap Value USD,Defined Large Cap Value USD,200.764502,188.1225296,727636850.3,5747810.426,0,0,10.61906637,1
Defined Latin America USD,Defined Latin America USD,189.131824,55.43873518,36023497.88,369059.1379,0,0,142.2579177,1
Defined Mega Cap USD,Defined Mega Cap USD,107.2042291,49.63485477,21747282.35,103047.7051,0,0,41.65904718,1
Defined Mid Cap Core TR USD,Defined Mid Cap Core TR USD,103.2863396,450.6482213,651282873.3,2554054.377,0,0,15.24023881,1
Defined Mid Cap Growth USD,Defined Mid Cap Growth USD,239.9988998,224.7312253,338282436.3,3116439.023,0,0,22.40352203,1
Defined Mid Cap Value USD,Defined Mid Cap Value USD,257.426187,224.9130435,37912443.85,447169.3895,0,0,22.36055959,1
Defined Multi Cap Growth TR USD,Defined Multi Cap Growth TR USD,88.92703568,674.4426877,170977072.9,606491.8256,0,0,38.78348756,1
Defined Multi Cap Value TR USD,Defined Multi Cap Value TR USD,149.0327437,674.9209486,60199845.57,365987.4932,0,0,35.12298134,1
Defined Small Cap Core USD,Defined Small Cap Core USD,165.4524144,525.56917,443801552.2,2815377.084,0,0,14.29303511,1
Defined Small Cap Growth USD,Defined Small Cap Growth USD,273.7458364,261.7747036,164565956.5,1755255.28,0,0,15.85444136,1
Defined Small Cap Value USD,Defined Small Cap Value USD,321.40886,261.8577075,61147140.72,792790.5496,0,0,26.07696956,1
Defined South Korea USD,Defined South Korea USD,493.6390517,51.87735849,1853746.2,37277.20472,0,0,51.35159467,1
Defined Switzerland TR USD,Defined Switzerland TR USD,112.1136741,41.23320158,92376091.32,420271.1498,0,0,42.02979738,1
Defined United Kingdom TR USD,Defined United Kingdom TR USD,286.4061617,77.51383399,15841009.36,189261.852,0,0,45.70533425,1
Distillate Fundamental Stability & Value Index,Distillate Fundamental Stability & Value Index,198.6385998,101.7351779,128565952.2,908994.2876,0,0,23.43022306,1
Dorsey Wright Dev Mrkt Tech Ldrs NR USD,Dorsey Wright Dev Mrkt Tech Ldrs NR USD,185.563446,110.9802372,159468653.3,1270295.734,0,0,39.30834834,1
Dorsey Wright Dynamic Focus Five Index,Dorsey Wright Dynamic Focus Five Index,152.1276703,6.565217391,272751963.3,1721977.2,0,0,39.14424075,1
Dorsey Wright Em Mrkt Tech Ldrs NR USD,Dorsey Wright Em Mrkt Tech Ldrs NR USD,270.8582017,113.6403162,151990266.6,1633140.891,0,0,39.40118764,1
Dorsey Wright International Focus Five Index,Dorsey Wright International Focus Five Index,152.111948,6.023715415,284482990.8,1838207.733,0,0,70.41659884,1
Dorsey Wright Momentum Plus Dividend Yield Index,Dorsey Wright Momentum Plus Dividend Yield Index,202.9127755,51.20158103,36195373.02,303140.5701,0,0,18.68541258,1
Dorsey Wright Momentum Plus Low Volatility Index,Dorsey Wright Momentum Plus Low Volatility Index,274.3960236,51.20158103,106522905.9,1123091.775,0,0,19.25351597,1
Dorsey Wright Momentum Plus Value Index,Dorsey Wright Momentum Plus Value Index,180.1190368,51.22924901,15612005.99,118866.6446,0,0,22.91183762,1
Dorsey Wright Sector 4 Index,Dorsey Wright Sector 4 Index,407.6240486,6.806451613,56016262.06,947545.0419,0,0,45.02662268,1
Dorsey Wright Technical leaders TR USD,Dorsey Wright Technical leaders TR USD,249.7823965,102.6108632,839487329.7,5813894.774,0,0,17.29791599,1
DorseyWright SmlCap Tech Leaders TR USD,DorseyWright SmlCap Tech Leaders TR USD,207.4501544,205.1778656,228768813.6,1883424.073,0,0,16.4183878,1
Dow Jones Brookfield Global Infrastructure Composite USD,Dow Jones Brookfield Global Infrastructure Composite USD,219.5940022,166.25,141367047.2,1295343.492,0,0,26.247662,0
Dow Jones Global Shipping USD,Dow Jones Global Shipping USD,564.8283885,31.96774194,41223038.94,930975.9728,0,0,18.91118325,0
Dow Jones Industrial Average Equal Weight Index,Dow Jones Industrial Average Equal Weight Index,539.8411818,30.02371542,37378995.11,851263.5646,0,0,35.31418268,0
Dow Jones Industrial Average Yield Weighted,Dow Jones Industrial Average Yield Weighted,466.3762548,30.26086957,94046511.63,1648708.1,0,0,36.97347369,0
Dow Jones International Internet Index,Dow Jones International Internet Index,607.6731111,39.68379447,30449384.71,689174.3577,0,0,68.0916444,0
Dynamic Biotech&Genome Intellidex TR USD,Dynamic Biotech&Genome Intellidex TR USD,54.41889246,32.2173913,229970486.7,554599.9371,0,0,18.45846326,1
Dynamic Building&Const Intellidex TR USD,Dynamic Building&Const Intellidex TR USD,203.0367049,31.83794466,111260345.8,944822.8967,0,0,19.48672617,1
Dynamic Enr Explo&Prod Intellidex GR USD,Dynamic Enr Explo&Prod Intellidex GR USD,422.8397011,32.02371542,16997399.42,340138.4021,0,0,15.41399047,1
Dynamic Food&Beverage Intellidex TR USD,Dynamic Food&Beverage Intellidex TR USD,165.5655354,32.02371542,69298103.1,446787.8396,0,0,13.70970284,1
Dynamic Large Cap Intellidex TR USD,Dynamic Large Cap Intellidex TR USD,110.8426414,52.27272727,700179585.7,3014837.335,0,0,7.694469614,1
Dynamic Large Cap Valu Intellidex TR USD,Dynamic Large Cap Valu Intellidex TR USD,120.7439691,51.99604743,739719875.3,3710480.384,0,0,7.352850717,1
Dynamic Leis&Entertnmt Intellidex TR USD,Dynamic Leis&Entertnmt Intellidex TR USD,928.9949992,32.12648221,234032721.3,6781498.072,0,0,16.01385026,1
Dynamic Market Intellidex TR USD,Dynamic Market Intellidex TR USD,43.26543608,103.3043478,124424870.7,216624.9425,0,0,48.68900448,1
Dynamic Media Intellidex TR USD,Dynamic Media Intellidex TR USD,194.063348,31.98418972,36868331.22,277373.6218,0,0,24.07298159,1
Dynamic Networking Intellidex TR USD,Dynamic Networking Intellidex TR USD,156.8161568,31.70355731,51355171.6,342781.9242,0,0,21.41118564,1
Dynamic Oil Services Intellidex TR USD,Dynamic Oil Services Intellidex TR USD,360.5865341,24.82608696,7412568.45,100318.5441,0,0,51.48164594,1
Dynamic Pharmaceutical Intellidex TR USD,Dynamic Pharmaceutical Intellidex TR USD,128.9572707,31.35177866,342705324.7,1795094.974,0,0,10.02861373,1
Dynamic Retail Intellidex TR USD,Dynamic Retail Intellidex TR USD,116.6704688,32.12903226,8308705.58,38501.50952,0,0,53.27275457,1
Dynamic Semiconductor Intellidex TR USD,Dynamic Semiconductor Intellidex TR USD,226.5677023,31.82608696,271730892.5,2350677.204,0,0,10.88366449,1
Dynamic Software Intellidex TR USD,Dynamic Software Intellidex TR USD,190.8916616,32.03162055,491272935.2,3556888.529,0,0,10.16148129,1
EEFund Video Game Tech Index,EEFund Video Game Tech Index,282.3780966,89.51383399,102842105.6,1138426.588,0,0,19.05292636,1
EGAI Emerging Markets ex-China Index,EGAI Emerging Markets ex-China Index,228.3939317,108.2031873,19160851.62,166706.6819,0,0,117.4698744,1
EURO STOXX Small Index,EURO STOXX Small Index,150.4505168,94.48207171,12248620.58,75157.85048,0,1,22.41529361,1
Energy Select Sector SPDR,Energy Sector,1709.906074,77.70274308,6392067200,592415385,1,1,5.54051287,1
Entrepreneur 30 Index,Entrepreneur 30 Index,28.21586721,31.27272727,119963412.1,236106.6625,0,0,57.132548,1
Entrepreneur Non-US Small Cap Index,Entrepreneur Non-US Small Cap Index,17.42012853,54.256917,28629813.74,40541.24173,0,0,25.93562388,1
Etho Climate Leadership Index,Etho Climate Leadership Index,120.0259296,266.4268775,84502906.37,391036.3319,0,0,25.06524247,1
FTSE All World ex US,All World Ex US,212.7069765,5425.176587,23944159406,191253110.3,1,1,3.678536396,0
FTSE All-World ex US High Dividend Yield Index,FTSE All-World ex US High Dividend Yield Index,202.7825817,1090.44664,1345548964,10449887.59,0,1,24.56664034,0
FTSE All-World ex US/Russell 1000 150/50 Net Spread Index,FTSE All-World ex US/Russell 1000 150/50 Net Spread Index,25.73832703,9.423913043,9600754.053,10676.11497,0,0,26.16005653,0
FTSE CHINA A50 INDEX,FTSE CHINA A50 INDEX,261.9827753,51.88976378,9994435.153,142423.0063,0,0,27.49933024,0
FTSE Canada Capped Index,FTSE Canada Capped Index,245.4554709,56.52589641,6144970.659,63967.74527,0,0,53.14469137,0
FTSE China 25 TR USD,FTSE China 25 TR USD,6722.564594,55.37944664,3770881411,1014343051,0,0,2.554162738,0
FTSE China Capped Index,FTSE China Capped Index,219.0009195,795.3904382,57754722.38,567180.3883,0,0,22.49095378,0
FTSE Columbia 20 TR USD,FTSE Columbia 20 TR USD,150.1246141,28.14574899,44607288.18,293332.6949,0,0,107.5116275,0
FTSE Custom Developed ex US Ultra Dividend Revenue Index,FTSE Custom Developed ex US Ultra Dividend Revenue Index,9.954550994,223.2258065,2387267.269,959.421056,0,0,18.264607,0
