index_name,ST_BUSHEE,st_75_,index_id,RelSPread_crsp,turnover_perc,numholdings_,aum_ETFG_,dvol,sep_ind_,top3_issuer,urgency_mean,urgency_std,aum_ind_bn,dvol_ind_bn,spread_ind_bps,num_const_00,ratio_hu,d_OwnIndex
BVP Nasdaq Emerging Cloud Index,0.356346611,0,BVP Nasdaq Emerging Cloud Index,0.002186444,1120.188298,53.15139442,460946365.9,17031185.6,0,0,2.497741796,2.948235343,0.460946366,0.017031186,21.86444483,0.531513944,1.180360335,0
Barrons 400 TR USD,0.38851247,0,Barrons 400 TR USD,0.001915724,71.20718705,399.4032258,114485346.2,320819.1074,0,0,0.625964676,0.397577919,0.114485346,0.000320819,19.15723525,3.994032258,0.635144336,1
Beacon Global Timber USD,0.114031772,0,Beacon Global Timber USD,0.003505004,189.0676834,83.88932806,84662263.34,661734.6478,0,0,0.79982522,0.534513152,0.084662263,0.000661735,35.05004201,0.838893281,0.668287444,1
Beacon Spin-Off TR USD,0.241587396,0,Beacon Spin-Off TR USD,0.004848162,88.39302344,33.86956522,66330127.27,229128.5433,0,0,0.891988519,0.554227156,0.066330127,0.000229129,48.48161873,0.338695652,0.62133889,1
Beta Advantage Research Enhanced U.S. Equity Index,0.764631642,1,Beta Advantage Research Enhanced U.S. Equity Index,0.004722119,222.3637078,357.6932271,46404062.53,530385.9076,0,0,0.288350386,,0.046404063,0.000530386,47.22119268,3.576932271,,1
Beta Advantage Research Enhanced U.S. Value Index,0.617622382,1,Beta Advantage Research Enhanced U.S. Value Index,0.003433424,38.54857995,287.0119522,3501563.306,33634.97139,0,0,0.257546862,0.130688285,0.003501563,3.36E-05,34.33423931,2.870119522,0.507434973,1
Beta Advantage Sustainable Global Equity Income 200 Index,0.380841578,0,Beta Advantage Sustainable Global Equity Income 200 Index,0.022274789,76.76422636,206.5090909,15952323.68,42874.49328,0,0,0.464898516,0.192137756,0.015952324,4.29E-05,222.7478914,2.065090909,0.413289675,1
Beta Advantage Sustainable International Equity Income 100 Index,0.31227335,0,Beta Advantage Sustainable International Equity Income 100 Index,0.010777721,108.1145593,121.8326693,4493863.275,18789.76638,0,0,0.638112516,0.366760003,0.004493863,1.88E-05,107.7772068,1.218326693,0.574757576,1
Beta Advantage Sustainable U.S. Equity Income 100 Index,0.574042321,1,Beta Advantage Sustainable U.S. Equity Income 100 Index,0.006471196,123.0982737,102.7768924,5239370.935,25742.54492,0,0,0.68432919,0.406483667,0.005239371,2.57E-05,64.71195697,1.027768924,0.593988497,1
BlueStar 5G Communications Index,0.26154452,0,BlueStar 5G Communications Index,0.001044389,444.3611661,76.07114625,405707099.6,6553727.489,0,0,0.867301234,0.424281232,0.4057071,0.006553727,10.44389346,0.760711462,0.489197082,1
BlueStar Israel Global TR USD,0.474224502,0,BlueStar Israel Global TR USD,0.010803746,54.76593469,140.0996016,59817647.58,137546.55,0,0,0.604741523,0.474064637,0.059817648,0.000137547,108.0374633,1.400996016,0.783912828,1
BlueStar Quantum Computing and Machine Learning Index,0.444696436,0,BlueStar Quantum Computing and Machine Learning Index,0.001889563,428.3296363,82.09090909,32613916.33,512244.5221,0,0,0.523252291,0.369227715,0.032613916,0.000512245,18.89562733,0.820909091,0.705639939,1
BofA Merrill Lynch Diversified Core U.S. Preferred Securities Index,0.20736593,0,BofA Merrill Lynch Diversified Core U.S. Preferred Securities Index,0.002065154,261.191252,285.7044534,723311000.5,7919924.399,0,0,0.840910998,0.553570871,0.723311001,0.007919924,20.65153719,2.857044534,0.658299002,1
BrandTransact50 Index,0.823965849,1,BrandTransact50 Index,0.002957013,611.1993459,51,16155277.4,292285.0901,0,0,0.782278057,0.686356613,0.016155277,0.000292285,29.57013335,0.51,0.877381906,1
CBOE NASDAQ-100 BuyWrite USD,0.179832425,0,CBOE NASDAQ-100 BuyWrite USD,0.001742218,301.2685539,105.951417,1147727959,13369388.66,0,0,1.030971028,0.682380524,1.147727959,0.013369389,17.4221818,1.05951417,0.661881377,0
CEMP Emerging Market 500 Volatility Weighted Index,0.196098545,0,CEMP Emerging Market 500 Volatility Weighted Index,0.002864643,75.24073112,499.7351779,37250995.86,239488.6644,0,0,0.622949567,0.323047981,0.037250996,0.000239489,28.64642808,4.997351779,0.518578065,1
CEMP Emerging Market High Dividend 100 Volatility Weighted Index,0.099008856,0,CEMP Emerging Market High Dividend 100 Volatility Weighted Index,0.00252609,151.6703567,100.8498024,26392991.31,200329.0237,0,0,0.746828616,0.358685396,0.026392991,0.000200329,25.26089844,1.008498024,0.480278057,1
CEMP International 500 Long/Cash Volatility Weighted Index,0.240084758,0,CEMP International 500 Long/Cash Volatility Weighted Index,0.003226904,156.6707453,501.7826087,54336002.75,346333.6663,0,0,0.752831392,0.464239934,0.054336003,0.000346334,32.26903839,5.017826087,0.616658576,1
CEMP International 500 Volatility Weighted Index,0.146000035,0,CEMP International 500 Volatility Weighted Index,0.004464975,79.74926456,500.972332,87554445.82,267148.9078,0,0,0.605939095,0.307941729,0.087554446,0.000267149,44.6497533,5.00972332,0.508205744,1
CEMP International High Dividend 100 Volatility Weighted Index,0.078404841,0,CEMP International High Dividend 100 Volatility Weighted Index,0.003959593,116.2014911,100.7312253,61154827.55,327096.2555,0,0,0.685488145,0.350329543,0.061154828,0.000327096,39.59592623,1.007312253,0.511065793,1
CEMP U.S. Large Cap 500 Long/Cash Volatility Weighted Index,0.134820727,0,CEMP U.S. Large Cap 500 Long/Cash Volatility Weighted Index,0.001116176,94.33826982,500.486166,648444961.7,2392797.979,0,0,0.810720514,0.472280633,0.648444962,0.002392798,11.1617562,5.00486166,0.582544324,1
CEMP U.S. Large Cap 500 Volatility Weighted Index,0.251254717,0,CEMP U.S. Large Cap 500 Volatility Weighted Index,0.001367229,124.130098,500.43083,706157708.1,3469736.045,0,0,0.689414674,0.364513853,0.706157708,0.003469736,13.67229409,5.0043083,0.528729467,1
CEMP U.S. Large Cap High Dividend 100 Long/Cash Volatility Weigh,0.143425433,0,CEMP U.S. Large Cap High Dividend 100 Long/Cash Volatility Weigh,0.001029851,90.39298635,101.0395257,596272715.2,2242649.114,0,0,0.740644864,0.386627156,0.596272715,0.002242649,10.29850817,1.010395257,0.522014227,1
CEMP U.S. Small Cap 500 Long/Cash Volatility Weighted Index,0.236875417,0,CEMP U.S. Small Cap 500 Long/Cash Volatility Weighted Index,0.005023163,303.4981299,465.0592885,42780974.38,536537.348,0,0,0.721236219,0.396630553,0.042780974,0.000536537,50.23162641,4.650592885,0.549931552,1
CEMP US Large Cap High Dividend 100 Volatility Weighted Index,0.231925899,0,CEMP US Large Cap High Dividend 100 Volatility Weighted Index,0.002231153,151.2001254,101.0079051,219692027.3,1625720.102,0,0,0.715772606,0.391883818,0.219692027,0.00162572,22.31152812,1.010079051,0.547497648,1
CEMP US Small Cap 500 Volatility Weighted Index,0.128611956,0,CEMP US Small Cap 500 Volatility Weighted Index,0.003580299,163.2463032,465.0592885,19059533.45,133499.4036,0,0,0.718335438,0.344250225,0.019059533,0.000133499,35.80298572,4.650592885,0.479233248,1
CEMP US Small Cap High Dividend 100 Volatility Weighted Index,0.092411748,0,CEMP US Small Cap High Dividend 100 Volatility Weighted Index,0.00478185,202.923261,100.3320158,75690768.61,596056.4762,0,0,0.699093443,0.382610609,0.075690769,0.000596056,47.81850337,1.003320158,0.547295377,1
CIBC Atlas Clean Energy Index,0.01759539,0,CIBC Atlas Clean Energy Index,0.002023808,277.8076335,33.36693548,297659404.9,3458269.738,0,0,0.695059758,0.339459279,0.297659405,0.00345827,20.23807673,0.333669355,0.488388625,1
CRSP US Mega Cap Growth TR USD,0.271787272,0,CRSP US Mega Cap Growth TR USD,0.0005009,246.072003,111.7351779,7748215566,70874345.37,0,1,0.907498241,0.63156424,7.748215566,0.070874345,5.009004734,1.117351779,0.695939906,1
CRSP US Mega Cap TR USD,0.096320769,0,CRSP US Mega Cap TR USD,0.000541191,163.858002,255.5770751,2657339549,15894151.4,0,1,0.905285645,0.612946874,2.657339549,0.015894151,5.411910432,2.555770751,0.677075658,1
CRSP US Mega Cap Value TR USD,0.352128513,0,CRSP US Mega Cap Value TR USD,0.000667959,126.8120851,154.6521739,2827557903,13745205.44,0,1,0.863211192,0.549504294,2.827557903,0.013745205,6.679593405,1.546521739,0.636581522,1
CRSP US Mid Cap Growth TR USD,0.151575669,0,CRSP US Mid Cap Growth TR USD,0.00057599,103.5746645,163.4782609,7775680897,30213366.07,0,1,0.901362471,0.61385062,7.775680897,0.030213366,5.759900069,1.634782609,0.68102527,1
CRSP US Mid Cap TR USD,0.083803893,0,CRSP US Mid Cap TR USD,0.000518697,124.5561481,350.6679842,32482662498,147098718.1,0,1,0.951707627,0.61241367,32.4826625,0.147098718,5.186974846,3.506679842,0.643489295,1
CRSP US Mid Cap Value TR USD,0.134170476,0,CRSP US Mid Cap Value TR USD,0.000501908,148.8897361,205.5454545,9212573652,51712681.22,0,1,0.900002598,0.605455111,9.212573652,0.051712681,5.019081115,2.055454545,0.672725959,1
CSI 300 TR CNY,,,CSI 300 TR CNY,0.004334154,539.9898611,385.3292683,57230179.9,986678.9338,0,0,0.616974379,0.530800868,0.05723018,0.000986679,43.34153654,3.853292683,0.860328867,1
CSI 300 USD,0.53393396,1,CSI 300 USD,0.000536222,2114.34147,597.7871486,1916172537,162923324.8,0,0,0.875422118,0.824197736,1.916172537,0.162923325,5.362219697,5.977871486,0.941486078,1
CSI 300 USD Hedged Index,0.524069853,1,CSI 300 USD Hedged Index,0.008018031,25.04158089,488.7590361,13074878.6,16377.08226,0,0,0.495863254,0.601251485,0.013074879,1.64E-05,80.18030567,4.887590361,1.212534866,1
CSI Overseas China Five-Year Plan GR USD,0.885722252,1,CSI Overseas China Five-Year Plan GR USD,0.015486794,296.4481854,104.8906883,14259795.5,179827.1011,0,0,0.348915686,0.303509829,0.014259795,0.000179827,154.8679442,1.048906883,0.86986582,1
Cambria Emerging Shareholder Yield Index,0.101285393,0,Cambria Emerging Shareholder Yield Index,0.010520273,167.9387835,96.37083333,33904762.28,232719.7289,0,0,1.07848767,1.102145731,0.033904762,0.00023272,105.2027315,0.963708333,1.02193633,1
Cambria Foreign Shareholder Yield USD,0.191112466,0,Cambria Foreign Shareholder Yield USD,0.006611014,106.2245503,103.5313808,20807977.35,117391.5704,0,0,0.746840939,0.658027273,0.020807977,0.000117392,66.11014207,1.035313808,0.881080882,1
Cambria Global Value USD,0.120551577,0,Cambria Global Value USD,0.002808259,127.5557678,104.6239669,108763852.5,578274.4321,0,0,0.798183557,0.661944964,0.108763852,0.000578274,28.08259324,1.046239669,0.829314207,1
Cannabis Index,0.480208959,0,Cannabis Index,0.010774913,836.00742,26.31983806,13904280.22,534124.1951,0,0,0.64166765,0.299672421,0.01390428,0.000534124,107.749133,0.263198381,0.467021239,1
Cboe Russell 2000 BuyWrite Index,0.193991923,0,Cboe Russell 2000 BuyWrite Index,0.007567106,355.3240324,4,16898270.15,245391.0873,0,0,0.724768514,0.374333361,0.01689827,0.000245391,75.67105912,0.04,0.516486787,0
Change Finance Diversified Impact U.S. Large Cap Fossil Fuel Free Index,0.31751794,0,Change Finance Diversified Impact U.S. Large Cap Fossil Fuel Free Index,0.005812797,198.1983856,100.1343874,19543169.32,152289.0345,0,0,0.770224791,0.424631982,0.019543169,0.000152289,58.12796919,1.001343874,0.55130916,1
China Securities 500 Index,0.72654532,1,China Securities 500 Index,0.002630647,357.5166189,939.7188755,34879309.72,530334.6041,0,0,0.637730607,0.612354779,0.03487931,0.000530335,26.30646777,9.397188755,0.960209173,1
Communication Services Select Sector SPDR,0.143030041,0,US Communications Sector,0.000497876,445.2548279,71.07765762,5860166673,120924416,1,1,0.973116059,0.659144087,5.860166673,0.120924416,4.978764294,0.710776576,0.677354033,1
Concinnity Conscious Companies Index,0.814709536,1,Concinnity Conscious Companies Index,0.005956455,424.2282472,159.1902834,255417800.3,2880829.916,0,0,0.651734723,0.342590329,0.2554178,0.00288083,59.56455387,1.591902834,0.525659163,1
Consumer Discretionary Select Sector SPDR,0.160172737,0,Consumer Discretionary Sector,0.000505208,626.0887759,179.1748894,8955336880,308644652.2,1,1,0.967592886,0.682512638,8.95533688,0.308644652,5.05208381,1.791748894,0.705371699,1
Consumer Staples Select Sector SPDR,0.163119609,0,Consumer Staples Sector,0.000409112,741.7617938,64.63697478,9582134375,380002431.7,1,1,0.976658748,0.696615353,9.582134375,0.380002432,4.091120749,0.646369748,0.713263824,1
Credit Suisse 130/30 Large Cap USD,0.262181921,0,Credit Suisse 130/30 Large Cap USD,0.003705385,98.01246561,378.4285714,494219161.3,2444905.628,0,0,0.926179356,0.754519814,0.494219161,0.002444906,37.05385488,3.784285714,0.814658424,1
DAX Index,0.877317751,1,DAX Index,0.008043714,475.167453,32.32793522,21786244.99,408268.8915,0,0,0.698709644,0.508957191,0.021786245,0.000408269,80.43714054,0.323279352,0.728424455,1
DJ Asia Pac Select Dividend 30 TR USD,0.453371279,0,DJ Asia Pac Select Dividend 30 TR USD,0.00328143,161.7150534,52.48616601,26093859.03,171065.3328,0,0,0.670624359,0.422497217,0.026093859,0.000171065,32.81430165,0.52486166,0.630005771,0
DJ EM Consumer Titans 30 TR USD,0.319261075,0,DJ EM Consumer Titans 30 TR USD,0.003143406,147.045372,74.90438247,183918611,1087687.567,0,0,0.817542492,0.571677106,0.183918611,0.001087688,31.43405972,0.749043825,0.699262866,0
DJ EPAC Select Dividend TR USD,0.187261469,0,DJ EPAC Select Dividend TR USD,0.000906057,210.4288754,118.43083,3701541804,30674885.82,0,0,0.999887957,1.002920333,3.701541804,0.030674886,9.060573416,1.1843083,1.003032716,0
DJ Emerging Markets Sel Dividend TR USD,0.339199305,0,DJ Emerging Markets Sel Dividend TR USD,0.00221463,235.2058983,125.2608696,627705103.7,6216565.702,0,0,0.777736794,0.567860052,0.627705104,0.006216566,22.14629532,1.252608696,0.730144255,0
DJ Global Select Dividend TR USD,0.293888959,0,DJ Global Select Dividend TR USD,0.001899305,144.775875,95.72332016,417960675.3,2403727.349,0,0,0.806803514,0.503093471,0.417960675,0.002403727,18.99304851,0.957233202,0.623563808,0
DJ Global TR USD,0.421497375,0,DJ Global TR USD,0.001368247,91.19433749,188.2111554,81102060.26,279538.8539,0,1,0.756010335,0.547056813,0.08110206,0.000279539,13.68247104,1.882111554,0.723610231,0
DJ Industrial Average TR USD,0.347760348,0,DJ Industrial Average TR USD,8.49E-05,1439.116278,31.16733068,22065534069,1201289521,0,1,0.981159116,0.755796516,22.06553407,1.201289521,0.84913193,0.311673307,0.770309834,0
DJ Select Micro Cap TR USD,0.341643211,0,DJ Select Micro Cap TR USD,0.004579878,245.893688,186.2924901,112224604,1038388.273,0,0,0.713632716,0.36509727,0.112224604,0.001038388,45.79878294,1.862924901,0.511603884,0
DJ Transportation Average TR USD,0.368497357,0,DJ Transportation Average TR USD,0.000861216,1619.811803,24.7826087,770980292.3,41821332.37,0,0,0.922367928,0.749025821,0.770980292,0.041821332,8.612163017,0.247826087,0.812068372,0
DJ US Basic Materials TR USD,0.218778592,0,DJ US Basic Materials TR USD,0.000977141,385.2831509,48.18577075,414736250.2,6881992.471,0,0,0.871709739,0.620731928,0.41473625,0.006881992,9.771406486,0.481857708,0.712085572,0
DJ US Broad Stock Market TR USD,0.076538549,0,DJ US Broad Stock Market TR USD,0.000383187,158.4406403,2468.856574,15496291960,92383871.09,0,0,0.958428801,0.640707369,15.49629196,0.092383871,3.831866163,24.68856574,0.668497617,0
DJ US Consumer Goods TR USD,0.289445538,0,DJ US Consumer Goods TR USD,0.00064822,190.8951328,107.5533597,564349096.3,4525132.237,0,0,0.877629246,0.608887495,0.564349096,0.004525132,6.482200139,1.075533597,0.693786696,0
DJ US Consumer Svcs TR USD,0.351246884,0,DJ US Consumer Svcs TR USD,0.000728045,236.7844661,153.3794466,966487237.7,8685806.858,0,0,0.942234348,0.667804958,0.966487238,0.008685807,7.280445064,1.533794466,0.708746141,0
DJ US Dividend 100 TR USD,0.055798321,0,DJ US Dividend 100 TR USD,0.000461553,224.0856775,113.4661355,12238374089,105069492.6,0,0,1.007160761,0.674758181,12.23837409,0.105069493,4.615530309,1.134661355,0.669960753,0
DJ US Financial Services TR USD,0.178704867,0,DJ US Financial Services TR USD,0.00063213,368.8248655,118.4822134,1323709502,20930373.27,0,0,0.870917627,0.567657574,1.323709502,0.020930373,6.321301725,1.184822134,0.651792496,0
DJ US Financial TR USD,0.286133472,0,DJ US Financial TR USD,0.000588525,555.7107263,273.1976285,1379738172,29253521.83,0,0,0.884422382,0.621428038,1.379738172,0.029253522,5.885253422,2.731976285,0.702637168,0
DJ US Health Care TR USD,0.213240767,0,DJ US Health Care TR USD,0.000753093,186.2112159,124.4703557,2315209196,16977183.34,0,0,0.960881712,0.668063797,2.315209196,0.016977183,7.530928335,1.244703557,0.695261226,0
DJ US Industrials TR USD,0.306631414,0,DJ US Industrials TR USD,0.000825127,210.515412,203.6758893,875300751.9,7137323.879,0,0,0.949854622,0.746261913,0.875300752,0.007137324,8.251272827,2.036758893,0.785659085,0
DJ US Oil&Gas TR USD,0.236459722,0,DJ US Oil&Gas TR USD,0.000696406,2241.980161,49.12648221,442299950.2,38104418.93,0,0,0.891470511,0.593415281,0.44229995,0.038104419,6.96406057,0.491264822,0.665658901,0
DJ US Select Dividend TR USD,0.14890612,0,DJ US Select Dividend TR USD,0.000695397,143.0711166,102.7272727,14035982299,77706851.73,0,0,1.057458872,1.036327984,14.0359823,0.077706852,6.953968636,1.027272727,0.980017295,0
DJ US Select HC Providers TR USD,0.341436568,0,DJ US Select HC Providers TR USD,0.000818632,311.4605405,53.34387352,929630792.4,11305410.87,0,0,0.926596015,0.646829705,0.929630792,0.011305411,8.186324374,0.533438735,0.698070891,0
DJ US Select Home Builders TR USD,0.409964366,0,DJ US Select Home Builders TR USD,0.000661825,2651.904852,46.67193676,1624689174,156866982.2,0,0,0.94093378,0.78570878,1.624689174,0.156866982,6.618245442,0.466719368,0.835030898,0
DJ US Select Insurc TR USD,0.293274224,0,DJ US Select Insurc TR USD,0.001757345,252.433169,66.28853755,69248623.62,776648.2191,0,0,0.725884475,0.466599479,0.069248624,0.000776648,17.57344723,0.662885375,0.642801293,0
DJ US Select Investment Svcs TR USD,0.546552857,1,DJ US Select Investment Svcs TR USD,0.000963356,335.2881641,29.04347826,145723643.7,1877857.806,0,0,0.844668462,0.624723355,0.145723644,0.001877858,9.633562743,0.290434783,0.739607767,0
DJ US Select Medical Equip TR USD,0.336831908,0,DJ US Select Medical Equip TR USD,0.000705315,301.4140692,63.65217391,6823618819,73930709.36,0,0,0.987563598,0.689183254,6.823618819,0.073930709,7.053150116,0.636521739,0.697862148,0
DJ US Select Oil Equip&Svcs TR USD,0.394383047,0,DJ US Select Oil Equip&Svcs TR USD,0.001311241,889.2697618,30.98814229,88098561.39,3152776.525,0,0,0.802615838,0.494849232,0.088098561,0.003152777,13.11240792,0.309881423,0.616545561,0
DJ US Select Oil Explor&Prodtn TR USD,0.240021186,0,DJ US Select Oil Explor&Prodtn TR USD,0.001416468,1157.376526,49.70355731,177200376,7567824.524,0,0,0.82865058,0.594397416,0.177200376,0.007567825,14.16468353,0.497035573,0.717307669,0
DJ US Select Pharms TR USD,0.320526577,0,DJ US Select Pharms TR USD,0.000985294,170.141479,48.15810277,343826625.7,2323021.401,0,0,0.890597536,0.607121038,0.343826626,0.002323021,9.852938882,0.481581028,0.681700784,0
DJ US Select Regional Banks TR USD,0.183329452,0,DJ US Select Regional Banks TR USD,0.000821478,614.0586679,59.88537549,259150080.6,5965987.846,0,0,0.837482999,0.539699108,0.259150081,0.005965988,8.214778016,0.598853755,0.644429928,0
DJ US Select Telecom TR USD,0.296886783,0,DJ US Select Telecom TR USD,0.000648116,678.5796615,47.28063241,362439625.2,9662109.45,0,0,0.862294071,0.641489356,0.362439625,0.009662109,6.481163047,0.472806324,0.743933396,0
DJ US TR USD,0.193802382,0,DJ US TR USD,0.000713077,127.850431,1140.577075,1252414240,6043857.567,0,0,0.888922306,0.58456963,1.25241424,0.006043858,7.130772387,11.40577075,0.657616111,0
DJ US TSM Large Cap Growth TR USD,0.048371787,0,DJ US TSM Large Cap Growth TR USD,0.000431752,151.8010969,332.5856574,10831559641,61991689.88,0,0,0.920301255,0.627925268,10.83155964,0.06199169,4.317515343,3.325856574,0.682304044,0
DJ US TSM Large Cap TR USD,0.053076489,0,DJ US TSM Large Cap TR USD,0.000401832,164.1848247,775.5338645,20861393846,126819496.6,0,0,0.998312784,0.776132204,20.86139385,0.126819497,4.018320372,7.755338645,0.77744392,0
DJ US TSM Large Cap Value TR USD,0.146691373,0,DJ US TSM Large Cap Value TR USD,0.000595504,172.4308859,460.8007968,6639730807,43941241.56,0,0,0.92286844,0.701879034,6.639730807,0.043941242,5.955042949,4.608007968,0.760540726,0
DJ US TSM Mid Cap TR USD,0.069128787,0,DJ US TSM Mid Cap TR USD,0.000586236,134.1909398,517.3784861,6455454629,31784469.69,0,0,1.000363744,0.674187688,6.455454629,0.03178447,5.862359519,5.173784861,0.673942546,0
DJ US TSM Small Cap TR USD,0.061219364,0,DJ US TSM Small Cap TR USD,0.000728906,135.6838748,1745.039841,9264008503,45957415.05,0,0,0.93389445,0.607470433,9.264008503,0.045957415,7.28905542,17.45039841,0.650470118,0
DJ US Technology TR USD,0.235251365,0,DJ US Technology TR USD,0.000430317,201.9581354,162.3359684,5552930909,42832350.74,0,0,0.985518346,0.707843829,5.552930909,0.042832351,4.303173445,1.623359684,0.718245207,0
DJ US Thematic Market Neut Momen TR USD,0.752234165,1,DJ US Thematic Market Neut Momen TR USD,0.009463108,1692.895553,617.8714286,4565798.32,306363.3594,0,0,0.440380726,0.260179091,0.004565798,0.000306363,94.63108426,6.178714286,0.5908049,0
DJ US Thematic Mkt Neut Anti-Beta TR USD,0.494106437,0,DJ US Thematic Mkt Neut Anti-Beta TR USD,0.002948862,627.4819437,549.8142857,176694682.9,4315886.945,0,0,0.749872769,0.476557809,0.176694683,0.004315887,29.48862069,5.498142857,0.635518222,0
DJ US Thematic Mkt Neut Value TR USD,0.613419914,1,DJ US Thematic Mkt Neut Value TR USD,0.013823138,876.766448,502.510101,785669.937,27161.54625,0,0,0.488443215,0.409160572,0.00078567,2.72E-05,138.2313763,5.02510101,0.83768299,0
DJ US Utilities TR USD,0.2165549,0,DJ US Utilities TR USD,0.000647747,273.8609616,51.57312253,860364468,10091473.95,0,0,0.922396839,0.709466688,0.860364468,0.010091474,6.477470924,0.515731225,0.769155594,0
DWA Basic Materials Technical Leaders USD,0.336805227,0,DWA Basic Materials Technical Leaders USD,0.002604644,164.0962087,49.54545455,42214329.12,303453.8963,0,0,0.828235979,0.481884101,0.042214329,0.000303454,26.04644206,0.495454545,0.581819811,1
DWA Consumer Cyclicals Technical Leaders USD,0.318755039,0,DWA Consumer Cyclicals Technical Leaders USD,0.004281021,351.2792104,40.5770751,32468304.71,540217.2443,0,0,0.755281021,0.53914995,0.032468305,0.000540217,42.81021478,0.405770751,0.713840193,1
DWA Consumer Staples Technical Leaders USD,0.269405612,0,DWA Consumer Staples Technical Leaders USD,0.002236043,129.8377519,36.68379447,120941340.2,647954.5491,0,0,0.919702353,0.5629091,0.12094134,0.000647955,22.36042949,0.366837945,0.612055736,1
